0;0;0;0;land;false;unknown;0
1;232;209;141;land;false;jungle;1
2;219;199;141;land;true;desert;1
3;225;158;124;land;false;plains;1
4;207;221;214;land;false;jungle;1
5;179;214;195;land;false;forest;1
6;241;170;101;land;true;plains;1
7;220;166;158;land;true;jungle;1
8;236;182;144;land;false;hills;1
9;226;92;229;land;false;forest;1
10;235;245;33;land;false;forest;1
11;164;251;161;land;false;jungle;1
12;230;198;108;land;false;forest;1
13;250;248;53;land;true;desert;1
14;125;184;232;land;false;jungle;1
15;194;203;162;land;false;jungle;1
16;197;253;229;land;false;hills;1
17;213;204;135;land;true;plains;1
18;117;217;233;land;false;jungle;1
19;167;240;233;land;false;hills;1
20;234;199;89;land;true;plains;1
21;55;241;253;land;true;plains;1
22;168;152;251;land;false;mountain;1
23;106;194;236;land;false;marsh;1
24;193;200;120;land;false;mountain;1
25;208;79;244;land;true;forest;1
26;126;229;225;land;false;mountain;1
27;216;240;225;land;true;forest;1
28;160;245;152;land;false;forest;1
29;174;191;232;land;true;marsh;1
30;214;253;44;land;false;jungle;1
31;73;251;185;land;false;plains;1
32;141;122;242;land;false;forest;1
33;175;230;167;land;true;forest;1
34;173;221;221;land;false;forest;1
35;183;208;151;land;true;jungle;1
36;100;245;156;land;false;hills;1
37;131;227;250;land;false;mountain;1
38;119;222;233;land;false;forest;1
39;210;198;150;land;false;desert;1
40;133;129;241;land;false;jungle;1
41;115;229;195;land;false;mountain;1
42;200;216;159;land;false;mountain;1
43;208;146;160;land;false;mountain;1
44;211;245;149;land;false;mountain;1
45;218;139;166;land;false;forest;1
46;141;205;236;land;true;urban;1
47;241;100;165;land;false;mountain;1
48;120;250;253;land;false;marsh;1
49;246;71;248;land;true;plains;1
50;164;250;131;land;false;jungle;1
51;217;235;190;land;false;forest;1
52;95;236;216;land;false;desert;1
53;230;154;197;land;false;mountain;1
54;121;232;195;land;false;hills;1
55;141;238;237;land;false;mountain;1
56;201;204;126;land;true;plains;1
57;204;89;214;land;false;jungle;1
58;246;32;244;land;false;hills;1
59;143;248;173;land;false;jungle;1
60;242;240;96;land;false;mountain;1
61;119;180;244;land;true;forest;1
62;239;100;206;land;false;desert;1
63;221;250;84;land;false;hills;1
64;226;131;166;land;true;jungle;1
65;62;248;207;land;false;forest;1
66;249;20;250;land;false;plains;1
67;178;180;254;land;false;forest;1
68;174;253;128;land;false;hills;1
69;253;73;233;land;false;forest;1
