1;arms_factory;2857.00;12.95;37.00;5.51;0
1;arms_factory;2896.00;10.30;19.00;3.35;0
1;arms_factory;2862.00;14.75;51.00;6.01;0
1;arms_factory;2906.00;10.53;29.00;2.40;0
1;arms_factory;2854.00;14.65;57.00;3.96;0
1;arms_factory;2898.00;10.35;32.00;1.80;0
1;industrial_complex;2882.00;10.55;31.00;3.00;0
1;industrial_complex;2959.00;10.25;22.00;0.84;0
1;industrial_complex;2879.00;10.75;36.00;2.40;0
1;industrial_complex;2861.00;12.18;34.00;5.07;0
1;industrial_complex;2876.00;11.12;39.00;1.45;0
1;industrial_complex;2857.00;13.82;39.00;4.47;0
1;air_base;2909.00;10.35;25.00;0.85;0
1;naval_base;2976.00;10.30;28.00;-2.55;5904
1;naval_base;2926.00;10.30;28.00;-3.93;5846
1;naval_base;2883.00;10.35;41.00;-3.65;5840
1;naval_base;2858.00;12.18;60.00;-3.14;5712
1;bunker;2889.00;10.40;28.00;1.96;0
1;bunker;2852.00;14.53;43.00;6.08;0
1;bunker;2896.00;10.38;29.00;6.18;0
1;bunker;2975.00;10.30;24.00;4.02;0
1;coastal_bunker;2911.00;10.30;32.00;-3.93;0
1;coastal_bunker;2975.00;10.30;28.00;-2.55;0
1;coastal_bunker;2877.00;10.95;45.00;-3.65;0
1;coastal_bunker;2853.00;10.68;70.00;-3.14;0
1;dockyard;2965.00;9.93;23.00;-1.29;0
1;anti_air_building;2859.00;14.75;53.00;1.52;0
1;anti_air_building;2901.00;10.45;30.00;4.54;0
1;anti_air_building;2854.00;12.98;61.00;5.74;0
1;synthetic_refinery;2906.00;10.38;33.00;3.58;0
1;fuel_silo;2889.00;10.30;34.00;5.14;0
1;radar_station;2911.00;10.30;32.00;3.80;0
1;rocket_site;2881.00;10.65;37.00;4.19;0
1;nuclear_reactor;2859.00;12.85;36.00;2.03;0
2;arms_factory;3978.00;10.35;1140.00;6.01;0
2;arms_factory;3955.00;10.32;1123.00;2.40;0
2;arms_factory;3970.00;10.40;1133.00;3.96;0
2;arms_factory;3978.00;10.48;1142.00;1.80;0
2;arms_factory;3963.00;10.45;1131.00;3.00;0
2;arms_factory;3966.00;10.43;1135.00;0.84;0
2;industrial_complex;3975.00;10.43;1144.00;2.40;0
2;industrial_complex;3965.00;10.50;1132.00;5.07;0
2;industrial_complex;3973.00;10.35;1142.00;1.45;0
2;industrial_complex;3968.00;10.43;1130.00;4.47;0
2;industrial_complex;3966.00;10.50;1133.00;0.85;0
2;industrial_complex;3977.00;10.50;1143.00;3.51;0
2;air_base;3970.00;10.35;1131.00;1.35;0
2;naval_base;3971.00;9.50;1141.00;-0.98;6135
2;naval_base;3965.00;9.60;1124.00;1.41;5450
2;bunker;3972.00;10.38;1132.00;1.96;0
2;bunker;3976.00;10.35;1141.00;6.08;0
2;coastal_bunker;3963.00;9.60;1123.00;1.41;0
2;coastal_bunker;3971.00;9.60;1143.00;-2.68;0
2;dockyard;3969.00;9.60;1127.00;1.41;0
2;anti_air_building;3967.00;10.53;1132.00;3.07;0
2;anti_air_building;3969.00;10.40;1135.00;6.09;0
