1;3066.00;10.30;1540.00;big
1;3117.00;9.50;1596.00;big
2;1755.00;9.50;625.00;big
2;681.00;9.50;1128.00;big
3;3227.00;10.88;510.00;big
3;3165.00;10.25;530.00;big
4;3389.00;14.40;643.00;big
4;3324.00;13.10;716.00;big
5;3378.00;11.00;792.00;big
5;3471.00;15.57;738.00;big
6;3427.00;12.75;838.00;big
6;3552.00;10.30;857.00;big
7;3638.00;13.98;813.00;big
7;3549.00;11.20;756.00;big
8;3722.00;13.80;1017.00;big
8;3620.00;14.07;976.00;big
9;3801.00;12.80;1103.00;big
9;3718.00;13.68;1126.00;big
10;3123.00;11.65;554.00;big
10;3186.00;10.60;631.00;big
11;3161.00;10.60;432.00;big
11;3053.00;11.65;439.00;big
12;2788.00;18.52;187.00;big
12;2864.00;14.15;322.00;big
13;2886.00;9.50;131.00;big
13;3112.00;10.48;87.00;big
14;2694.00;10.30;242.00;big
14;2731.00;10.03;74.00;big
15;2790.00;20.33;516.00;big
15;2757.00;19.27;420.00;big
16;2832.00;21.00;703.00;big
16;2803.00;18.48;868.00;big
17;2642.00;10.30;1086.00;big
17;2579.00;19.52;1129.00;big
18;2877.00;18.68;868.00;big
18;2981.00;11.45;828.00;big
19;2668.00;19.20;975.00;big
19;2764.00;19.08;932.00;big
20;2822.00;10.80;1041.00;big
20;2969.00;10.82;1094.00;big
21;3099.00;11.50;810.00;big
21;3246.00;13.10;801.00;big
22;2572.00;18.08;1215.00;big
22;2674.00;11.60;1198.00;big
23;2909.00;10.85;499.00;big
23;3005.00;11.23;599.00;big
24;3077.00;11.00;623.00;big
24;2993.00;10.55;713.00;big
25;3186.00;11.00;682.00;big
25;3115.00;12.18;745.00;big
26;2724.00;10.70;1114.00;big
26;2843.00;11.10;1168.00;big
27;2946.00;11.20;1154.00;big
27;2797.00;11.00;1084.00;big
28;3418.00;13.75;899.00;big
28;3476.00;11.80;1001.00;big
29;3211.00;11.20;951.00;big
29;3135.00;12.95;1039.00;big
30;3511.00;10.80;1181.00;big
30;3604.00;10.93;1104.00;big
31;3320.00;10.48;1214.00;big
31;3243.00;12.60;1119.00;big
32;3188.00;12.35;1352.00;big
32;3289.00;11.48;1293.00;big
33;2848.00;11.40;1353.00;big
33;2764.00;12.05;1257.00;big
34;3120.00;11.25;1270.00;big
34;2981.00;13.00;1303.00;big
35;3064.00;10.50;1424.00;big
35;2940.00;11.98;1393.00;big
36;2942.00;11.25;1481.00;big
36;2794.00;13.68;1465.00;big
37;3037.00;9.50;1724.00;big
37;3090.00;9.50;1686.00;big
38;2682.00;12.55;1348.00;big
38;2639.00;15.43;1452.00;big
39;2229.00;11.07;1236.00;big
39;2477.00;9.50;1146.00;big
40;2502.00;11.40;1463.00;big
40;2393.00;10.55;1548.00;big
41;2237.00;19.62;1625.00;big
41;2283.00;11.38;1674.00;big
42;2285.00;10.40;1779.00;big
42;2225.00;11.23;1722.00;big
43;2019.00;13.43;1665.00;big
43;2148.00;13.88;1677.00;big
44;1937.00;15.70;1795.00;big
44;0.00;9.50;0.00;big
45;1957.00;11.73;1955.00;big
